"","subNr","age","gender","hand","V15","response_keyboard_response_c1","V16","response_keyboard_response_c2","response_keyboard_response_3","response_keyboard_response_c3","response_keyboard_response_4","response_keyboard_response_c4"
"1",28685,20,0,1,0,4,1,3,4,2,1,2
"2",28675,24,1,1,1,3,0,3,1,2,4,2
"3",28659,24,1,1,0,2,1,1,7,5,3,5
"4",28656,22,1,1,0,5,0,5,5,5,3,5
"5",28623,22,1,1,0,5,0,1,1,5,7,5
"6",28614,23,1,1,1,2,0,3,6,5,3,4
"7",63,29,0,1,0,4,0,4,2,4,8,4
"8",63,19,1,1,0,3,0,2,4,3,4,3
"9",63,27,1,1,0,2,0,2,2,2,3,3
"10",62,29,0,1,0,2,0,1,3,5,8,5
"11",61,24,0,1,0,3,0,4,2,4,1,4
"12",60,26,0,1,0,2,1,3,6,4,4,2
"13",58,20,1,0,1,2,0,3,4,4,5,3
"14",55,19,0,0,0,3,0,2,7,5,1,5
"15",53,24,1,1,0,4,0,2,1,4,8,5
"16",50,18,1,1,0,4,0,4,5,3,2,3
"17",50,23,1,0,0,4,1,2,8,4,5,3
"18",49,27,1,0,1,3,0,3,3,3,1,3
"19",48,23,1,1,0,3,0,2,7,5,3,5
"20",47,26,0,1,1,2,0,3,5,5,5,5
"21",45,22,1,1,0,4,0,2,5,4,8,3
"22",45,22,0,1,0,4,0,4,3,5,1,5
"23",44,20,0,1,0,3,0,4,6,4,1,5
"24",44,18,0,1,0,4,0,2,7,5,6,2
"25",43,28,1,1,0,3,0,3,3,4,7,4
"26",42,23,1,1,0,3,0,2,5,5,3,5
"27",40,25,1,1,0,2,0,1,8,3,3,3
"28",39,24,1,1,0,3,1,2,2,3,8,2
"29",37,21,0,1,0,4,0,3,2,2,1,4
"30",36,24,0,1,0,2,0,1,6,4,3,4
"31",0,25,1,1,0,3,0,3,5,5,3,5
"32",35,26,0,0,0,5,0,5,5,5,5,5
"33",34,30,0,1,1,3,0,3,6,3,4,3
"34",31,19,1,0,0,3,1,4,6,2,1,3
"35",31,19,1,1,0,2,0,1,6,4,6,5
"36",31,29,1,1,0,5,1,3,1,2,7,3
"37",1,21,1,1,0,2,0,2,6,5,6,5
"38",1,23,0,1,0,4,0,2,3,5,1,4
"39",30,21,0,1,0,1,1,2,2,3,8,2
"40",27,26,0,0,1,5,1,5,6,5,4,5
"41",23,18,1,1,0,2,1,4,2,3,3,4
"42",22,33,1,1,0,3,0,3,6,4,4,4
"43",24,24,1,1,1,2,1,3,3,3,7,2
"44",24,19,0,1,0,4,0,4,6,5,4,5
"45",18,22,1,1,1,2,0,2,5,3,2,2
"46",16,18,1,1,0,2,0,3,5,4,2,3
"47",14,35,1,1,0,2,1,2,2,1,8,2
"48",13,53,0,1,1,3,0,2,2,4,8,3
"49",13,34,1,1,0,4,0,5,1,5,7,5
"50",12,29,0,1,0,2,0,3,1,5,4,4
"51",12,28,1,1,0,2,0,2,8,5,6,5
"52",10,25,1,1,0,3,0,3,6,2,4,4
"53",9,20,1,1,0,3,0,2,3,3,7,4
"54",8,32,1,1,0,2,0,2,5,5,3,5
"55",7,24,1,1,1,3,1,2,5,4,7,4
"56",5,20,0,1,0,3,0,3,3,5,8,5
"57",3,21,1,1,0,2,0,1,6,1,3,5
"58",2,35,1,1,0,5,1,2,7,3,5,4
"59",0,29,0,1,0,3,0,1,7,5,5,5
