"","subNr","age","gender","hand","iBlock","iTrial","cTarLoc","cTarSymNr","correct","response_time_search_resp"
"1",28685,20,0,1,0,0,0,0,0,2787
"2",28685,20,0,1,0,1,6,1,0,3013
"3",28685,20,0,1,0,2,1,1,1,2134
"4",28685,20,0,1,0,3,2,1,1,1796
"5",28685,20,0,1,0,4,7,1,1,2364
"6",28685,20,0,1,0,5,5,1,0,1940
"7",28685,20,0,1,0,6,2,0,0,2848
"8",28685,20,0,1,0,7,5,1,0,1852
"9",28685,20,0,1,0,8,5,0,0,3015
"10",28685,20,0,1,0,9,1,1,1,1785
"11",28685,20,0,1,0,10,6,0,1,1240
"12",28685,20,0,1,0,11,0,1,1,1398
"13",28685,20,0,1,0,12,4,0,1,1364
"14",28685,20,0,1,0,13,6,1,1,2608
"15",28685,20,0,1,0,14,3,0,1,965
"16",28685,20,0,1,0,15,4,1,0,1710
"17",28685,20,0,1,0,16,0,0,0,2080
"18",28685,20,0,1,0,17,4,0,0,3013
"19",28685,20,0,1,0,18,1,0,0,1937
"20",28685,20,0,1,0,19,5,0,1,1245
"21",28685,20,0,1,0,20,2,1,1,1643
"22",28685,20,0,1,0,21,2,0,0,1895
"23",28685,20,0,1,0,22,5,1,0,2266
"24",28685,20,0,1,0,23,1,0,0,1641
"25",28685,20,0,1,0,24,3,1,0,3017
"26",28685,20,0,1,0,25,0,1,0,1559
"27",28685,20,0,1,0,26,3,0,0,1621
"28",28685,20,0,1,0,27,6,1,0,1949
"29",28685,20,0,1,0,28,0,0,0,2046
"30",28685,20,0,1,0,29,7,0,1,2891
"31",28685,20,0,1,0,30,2,1,1,2174
"32",28685,20,0,1,0,31,0,1,0,1658
"33",28685,20,0,1,0,32,0,0,0,1060
"34",28685,20,0,1,0,33,6,1,0,2637
"35",28685,20,0,1,0,34,2,0,0,2005
"36",28685,20,0,1,0,35,3,1,0,1365
"37",28685,20,0,1,0,36,3,1,1,1280
"38",28685,20,0,1,0,37,1,1,1,2419
"39",28685,20,0,1,0,38,2,0,0,2622
"40",28685,20,0,1,0,39,7,0,0,3015
"41",28685,20,0,1,0,0,4,1,1,2415
"42",28685,20,0,1,0,1,5,0,1,932
"43",28685,20,0,1,0,2,1,0,1,1323
"44",28685,20,0,1,0,3,1,0,1,699
"45",28685,20,0,1,0,4,5,1,1,1575
"46",28685,20,0,1,0,5,1,1,1,2818
"47",28685,20,0,1,0,6,5,1,1,954
"48",28685,20,0,1,0,7,5,0,1,709
"49",28685,20,0,1,0,8,2,1,0,2693
"50",28685,20,0,1,0,9,7,0,0,3015
"51",28685,20,0,1,0,10,5,0,1,1441
"52",28685,20,0,1,0,11,3,0,0,1789
"53",28685,20,0,1,0,12,3,1,1,1378
"54",28685,20,0,1,0,13,6,0,1,2024
"55",28685,20,0,1,0,14,1,1,1,2099
"56",28685,20,0,1,0,15,6,0,0,3015
"57",28685,20,0,1,0,16,4,0,1,2001
"58",28685,20,0,1,0,17,4,1,1,846
"59",28685,20,0,1,0,18,1,0,1,1136
"60",28685,20,0,1,0,19,3,0,1,1726
"61",28685,20,0,1,0,20,4,0,1,925
"62",28685,20,0,1,0,21,0,0,1,1230
"63",28685,20,0,1,0,22,2,0,1,1753
"64",28685,20,0,1,0,23,7,1,1,1692
"65",28685,20,0,1,0,24,2,0,1,1652
"66",28685,20,0,1,0,25,4,1,0,2516
"67",28685,20,0,1,0,26,6,1,1,2619
"68",28685,20,0,1,0,27,0,1,1,2284
"69",28685,20,0,1,0,28,2,0,1,1519
"70",28685,20,0,1,0,29,6,1,0,2846
"71",28685,20,0,1,0,30,4,0,1,1622
"72",28685,20,0,1,0,31,2,1,1,1327
"73",28685,20,0,1,0,32,0,1,1,2001
"74",28685,20,0,1,0,33,3,1,0,3013
"75",28685,20,0,1,0,34,3,1,1,1052
"76",28685,20,0,1,0,35,7,0,1,1535
"77",28685,20,0,1,0,36,4,1,1,1579
"78",28685,20,0,1,0,37,6,0,1,2606
"79",28685,20,0,1,0,38,2,1,0,3015
"80",28685,20,0,1,0,39,1,1,1,2047
"81",28685,20,0,1,0,0,1,1,1,1570
"82",28685,20,0,1,0,1,0,0,1,1549
"83",28685,20,0,1,0,2,6,1,1,1785
"84",28685,20,0,1,0,3,7,1,1,2847
"85",28685,20,0,1,0,4,5,1,0,2305
"86",28685,20,0,1,0,5,0,1,1,1545
"87",28685,20,0,1,0,6,2,1,1,2047
"88",28685,20,0,1,0,7,7,1,1,2005
"89",28685,20,0,1,0,8,7,0,1,1040
"90",28685,20,0,1,0,9,0,1,1,1474
"91",28685,20,0,1,0,10,6,0,1,1368
"92",28685,20,0,1,0,11,0,0,1,1102
"93",28685,20,0,1,0,12,2,0,1,2014
"94",28685,20,0,1,0,13,2,0,1,803
"95",28685,20,0,1,0,14,3,1,1,1429
"96",28685,20,0,1,0,15,4,0,1,2639
"97",28685,20,0,1,0,16,3,0,1,2310
"98",28685,20,0,1,0,17,1,0,1,995
"99",28685,20,0,1,0,18,1,0,1,819
"100",28685,20,0,1,0,19,7,0,1,1548
"101",28685,20,0,1,0,20,5,1,1,1945
"102",28685,20,0,1,0,21,0,0,1,1937
"103",28685,20,0,1,0,22,6,0,1,1754
"104",28685,20,0,1,0,23,4,1,0,1605
"105",28685,20,0,1,0,24,0,1,1,1875
"106",28685,20,0,1,0,25,5,1,1,1849
"107",28685,20,0,1,0,26,5,0,1,805
"108",28685,20,0,1,0,27,1,0,1,1047
"109",28685,20,0,1,0,28,6,1,1,1863
"110",28685,20,0,1,0,29,0,0,1,854
"111",28685,20,0,1,0,30,4,0,1,1200
"112",28685,20,0,1,0,31,2,0,1,1409
"113",28685,20,0,1,0,32,1,0,0,2400
"114",28685,20,0,1,0,33,7,1,1,1935
"115",28685,20,0,1,0,34,2,1,1,2778
"116",28685,20,0,1,0,35,2,0,1,1438
"117",28685,20,0,1,0,36,7,0,1,2225
"118",28685,20,0,1,0,37,4,0,1,1648
"119",28685,20,0,1,0,38,4,1,1,790
"120",28685,20,0,1,0,39,3,1,0,3015
"121",28685,20,0,1,1,0,1,0,1,1646
"122",28685,20,0,1,1,1,3,0,1,1058
"123",28685,20,0,1,1,2,5,0,1,1754
"124",28685,20,0,1,1,3,6,1,1,2178
"125",28685,20,0,1,1,4,2,1,1,1427
"126",28685,20,0,1,1,5,1,0,1,2196
"127",28685,20,0,1,1,6,7,0,1,2129
"128",28685,20,0,1,1,7,1,1,1,2224
"129",28685,20,0,1,1,8,6,0,1,2721
"130",28685,20,0,1,1,9,2,1,1,1485
"131",28685,20,0,1,1,10,3,0,1,1116
"132",28685,20,0,1,1,11,7,0,1,2292
"133",28685,20,0,1,1,12,4,0,1,2135
"134",28685,20,0,1,1,13,0,1,1,2058
"135",28685,20,0,1,1,14,6,1,0,3014
"136",28685,20,0,1,1,15,2,0,1,2006
