"","workerId","age","gender","hand","iBlock","iTrial","cTarLoc","cTarSymNr","correct","response_time_search_resp"
"1",27066,21,1,1,-1,0,5,0,1,1067
"2",27066,21,1,1,-1,1,0,1,0,3007
"3",27066,21,1,1,-1,2,2,0,1,2564
"4",27066,21,1,1,-1,3,7,0,0,3007
"5",27066,21,1,1,-1,4,2,0,1,1740
"6",27066,21,1,1,-1,5,7,0,0,3007
"7",27066,21,1,1,-1,6,1,1,0,3006
"8",27066,21,1,1,-1,7,5,0,0,3007
"9",27066,21,1,1,-1,8,6,1,0,3007
"10",27066,21,1,1,-1,9,7,1,0,2163
"11",27066,21,1,1,-1,10,3,1,0,3006
"12",27066,21,1,1,-1,11,2,1,0,1381
"13",27066,21,1,1,-1,12,5,1,0,2235
"14",27066,21,1,1,-1,13,0,0,1,232
"15",27066,21,1,1,-1,14,4,1,0,759
"16",27066,21,1,1,-1,15,7,0,0,3007
"17",27066,21,1,1,-1,16,1,1,0,1120
"18",27066,21,1,1,-1,17,0,0,0,3006
"19",27066,21,1,1,-1,18,1,0,1,2651
"20",27066,21,1,1,-1,19,2,1,0,3007
"21",27066,21,1,1,-1,0,5,0,1,1993
"22",27066,21,1,1,-1,1,6,1,0,1493
"23",27066,21,1,1,-1,2,7,0,0,3006
"24",27066,21,1,1,-1,3,3,0,1,2270
"25",27066,21,1,1,-1,4,1,0,0,1028
"26",27066,21,1,1,-1,5,4,0,1,1586
"27",27066,21,1,1,-1,6,1,0,0,1394
"28",27066,21,1,1,-1,7,5,0,1,1410
"29",27066,21,1,1,-1,8,2,1,1,2486
"30",27066,21,1,1,-1,9,3,0,1,1943
"31",27066,21,1,1,-1,10,1,1,0,1710
"32",27066,21,1,1,-1,11,4,0,1,2223
"33",27066,21,1,1,-1,12,1,1,0,1634
"34",27066,21,1,1,-1,13,4,1,0,2174
"35",27066,21,1,1,-1,14,6,0,0,3007
"36",27066,21,1,1,-1,15,5,1,0,2146
"37",27066,21,1,1,-1,16,1,0,0,12
"38",27066,21,1,1,-1,17,0,0,0,773
"39",27066,21,1,1,-1,18,5,1,0,2161
"40",27066,21,1,1,-1,19,0,0,0,1360
"41",27066,21,1,1,-1,0,4,0,1,1490
"42",27066,21,1,1,-1,1,4,1,1,674
"43",27066,21,1,1,-1,2,1,1,0,1565
"44",27066,21,1,1,-1,3,5,1,1,2057
"45",27066,21,1,1,-1,4,5,1,1,659
"46",27066,21,1,1,-1,5,7,1,1,2109
"47",27066,21,1,1,-1,6,5,0,1,1084
"48",27066,21,1,1,-1,7,6,0,1,1526
"49",27066,21,1,1,-1,8,4,1,0,1176
"50",27066,21,1,1,-1,9,2,1,1,1409
"51",27066,21,1,1,-1,10,3,1,1,1665
"52",27066,21,1,1,-1,11,0,0,1,1847
"53",27066,21,1,1,-1,12,2,0,1,2248
"54",27066,21,1,1,-1,13,7,0,1,866
"55",27066,21,1,1,-1,14,2,1,1,1455
"56",27066,21,1,1,-1,15,0,0,1,1748
